"id","activitydate","totalsteps","calories"
"1503960366","2016-04-12 00:00:00",13162,1985
"1503960366","2016-04-13 00:00:00",10735,1797
"1503960366","2016-04-14 00:00:00",10460,1776
"1503960366","2016-04-15 00:00:00",9762,1745
"1503960366","2016-04-16 00:00:00",12669,1863
"1503960366","2016-04-17 00:00:00",9705,1728
"1503960366","2016-04-18 00:00:00",13019,1921
"1503960366","2016-04-19 00:00:00",15506,2035
"1503960366","2016-04-20 00:00:00",10544,1786
"1503960366","2016-04-21 00:00:00",9819,1775
"1503960366","2016-04-22 00:00:00",12764,1827
"1503960366","2016-04-23 00:00:00",14371,1949
"1503960366","2016-04-24 00:00:00",10039,1788
"1503960366","2016-04-25 00:00:00",15355,2013
"1503960366","2016-04-26 00:00:00",13755,1970
"1503960366","2016-04-27 00:00:00",18134,2159
"1503960366","2016-04-28 00:00:00",13154,1898
"1503960366","2016-04-29 00:00:00",11181,1837
"1503960366","2016-04-30 00:00:00",14673,1947
"1503960366","2016-05-01 00:00:00",10602,1820
"1503960366","2016-05-02 00:00:00",14727,2004
"1503960366","2016-05-03 00:00:00",15103,1990
"1503960366","2016-05-04 00:00:00",11100,1819
"1503960366","2016-05-05 00:00:00",14070,1959
"1503960366","2016-05-06 00:00:00",12159,1896
"1503960366","2016-05-07 00:00:00",11992,1821
"1503960366","2016-05-08 00:00:00",10060,1740
"1503960366","2016-05-09 00:00:00",12022,1819
"1503960366","2016-05-10 00:00:00",12207,1859
"1503960366","2016-05-11 00:00:00",12770,1783
"1503960366","2016-05-12 00:00:00",0,0
"1624580081","2016-04-12 00:00:00",8163,1432
"1624580081","2016-04-13 00:00:00",7007,1411
"1624580081","2016-04-14 00:00:00",9107,1572
"1624580081","2016-04-15 00:00:00",1510,1344
"1624580081","2016-04-16 00:00:00",5370,1463
"1624580081","2016-04-17 00:00:00",6175,1554
"1624580081","2016-04-18 00:00:00",10536,1604
"1624580081","2016-04-19 00:00:00",2916,1435
"1624580081","2016-04-20 00:00:00",4974,1446
"1624580081","2016-04-21 00:00:00",6349,1467
